"Serial2","F05_01","F05_01.ENG","F05_02","F05_02.ENG","F05_03","F05_04","F12","F13","F15","F15.ENG","F16","F16.ENG","F17","F20","F21","F30","F30.ENG","F31_01","F31_01_ENG","F31_02","F31_02_ENG","F31_03","F31_03_ENG","F31_04","F31_04_ENG","F31_05","F31_05_ENG","F31_06","F31_06_ENG","F31_07","F31_07_ENG","F31_08","F31_08_ENG","F31_09","F32","F33","hFerienDauer","hGruppePersonen","F80","F80_a05","F81_01","F81_02","F81_03","F81_04","F81_05","F81_06","F81_Total","F82_01","F82_02","F82_03","F82_04","F82_05","F82_06","F82_07","F82_Total","F83","F85","F105","F105A","F105_Code","F105_Code_nr","F105_OrgCode","F125","F125_ENG","F125_a11","F125_a11.ENG","F130","F130_a07","F135_01","F12_F13_Mittelwert_2Cat_final","leaflet_districts","leaflet_region"
1895,"Nord- und Mittelamerika","North and Central America","Vereinigte Staaten von Amerika","United States of America","California","","28.12.22","11.01.23","Winter","Winter","Rundreise durch Europa: mehrere Übernachtungsorte in der Schweiz","Round trip through Europe: several places to stay in Switzerland",NA,3,15,"Nein","Non","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable",NA,"2","",15,"2","$","",3000,2500,800,500,500,300,7600,NA,NA,NA,NA,NA,NA,NA,NA,"","Ja","Lausanne","","Lausanne",253,"Lausanne Tourisme","","#N/A","","","","",NA,"Winter","Lausanne","Lausanne"
10250,"Nord- und Mittelamerika","North and Central America","Vereinigte Staaten von Amerika","United States of America","California","","22.04.23","02.05.23","Frühling","Spring","Ferien mit nur einem Übernachtungsort in der Schweiz","Holidays with only one overnight stay in Switzerland",NA,NA,NA,"Nein","Non","Trifft nicht zu","Not applicable","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable",NA,"3","",11,"3","Andere","Credit card",3000,1000,1000,1000,500,0,6500,NA,NA,NA,NA,NA,NA,NA,NA,"","Ja","Morges (???)","","Morges",295,"Morges Région","Andere","Other","Did not stayed there, we stayed in Geneva","Did not stayed there, we stayed in Geneva","","",11,"Winter","Morges","Morges"
12685,"Nord- und Mittelamerika","North and Central America","Vereinigte Staaten von Amerika","United States of America","California","","20.05.23","10.06.23","Frühling","Spring","Rundreise durch Europa: mehrere Übernachtungsorte in der Schweiz","Round trip through Europe: several places to stay in Switzerland",NA,3,21,"Nein","Non","Trifft zu","Applies","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable",NA,"1","",22,"1","CHF","",3000,1500,1000,100,0,0,5600,NA,NA,NA,NA,NA,NA,NA,NA,"","Ja","Lausanne","","Lausanne",253,"Lausanne Tourisme","Gemietete Wohnung / Haus","Rented apartment / house","","","","",1,"Summer","Lausanne","Lausanne"
19740,"Europa","Europe","Dänemark","Denmark","Capital Region","","14.08.23","31.08.23","Sommer","Summer","Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz)","Round trip only within Switzerland (several overnight locations in Switzerland)",NA,7,NA,"Nein","Non","Trifft nicht zu","Not applicable","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable",NA,"2","",18,"2","€","",3000,400,2100,0,750,0,6250,NA,NA,NA,NA,NA,NA,NA,NA,"","Ja","Lausanne","","Lausanne",253,"Lausanne Tourisme","Hotel / Kurhaus","Hotel / Spa House","","","***","",2,"Summer","Lausanne","Lausanne"
14784,"Europa","Europe","Spanien","Spain","Comunidad Autónoma de Castilla y León","","08.07.23","17.07.23","Sommer","Summer","Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz)","Round trip only within Switzerland (several overnight locations in Switzerland)",NA,6,NA,"Nein","Non","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable",NA,"4","",10,"4","€","",3000,2000,800,60,20,0,5880,NA,NA,NA,NA,NA,NA,NA,NA,"","Ja","Lausanne","","Lausanne",253,"Lausanne Tourisme","Gemietete Wohnung / Haus","Rented apartment / house","","","","",2,"Summer","Lausanne","Lausanne"
10027,"Europa","Europe","Spanien","Spain","Comunidad Valenciana","","30.04.23","01.05.23","Frühling","Spring","Ferien mit nur einem Übernachtungsort in der Schweiz","Holidays with only one overnight stay in Switzerland",NA,NA,NA,"Nein","Non","Trifft nicht zu","Not applicable","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable",NA,"5","",2,"5","€","",3000,500,1000,0,500,500,5500,NA,NA,NA,NA,NA,NA,NA,NA,"","Ja","Vevey","","Vevey",290,"Montreux Riviera","Gemietete Wohnung / Haus","Rented apartment / house","","","","",2,"Winter","Riviera-Pays-d'Enhaut","Riviera-Pays-d'Enhaut"
12086,"Nord- und Mittelamerika","North and Central America","Vereinigte Staaten von Amerika","United States of America","Connecticut","","26.05.23","06.06.23","Frühling","Spring","Ferien mit nur einem Übernachtungsort in der Schweiz","Holidays with only one overnight stay in Switzerland",NA,NA,NA,"Nein","Non","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable",NA,"1","",12,"1","CHF","",3000,500,200,200,0,0,3900,NA,NA,NA,NA,NA,NA,NA,NA,"","Ja","Montreux","","Montreux",289,"Montreux Riviera","Andere","Other","visited for day","visited for day","","",12,"Summer","Riviera-Pays-d'Enhaut","Riviera-Pays-d'Enhaut"
3754,"Europa","Europe","Vereinigtes Königreich","United Kingdom","England","Kingston upon Thames","05.02.23","11.02.23","Winter","Winter","Ferien mit nur einem Übernachtungsort in der Schweiz","Holidays with only one overnight stay in Switzerland",NA,NA,NA,"Nein","Non","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable",NA,"11","",7,"11","CHF","",3000,350,3000,300,250,4000,10900,NA,NA,NA,NA,NA,NA,NA,NA,"","Ja","Leysin","","Leysin",7,"Aigle-Leysin-Les Mosses","Kostenlose Wohnung/Haus (eigene oder von Freunden / Verwandten etc.)","Free apartment/house (own or from friends / relatives etc.)","","","","",7,"Winter","Aigle","Aigle"
11791,"Europa","Europe","Vereinigtes Königreich","United Kingdom","England","Surrey","27.05.23","01.06.23","Frühling","Spring","Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz)","Round trip only within Switzerland (several overnight locations in Switzerland)",NA,2,NA,"Nein","Non","Trifft nicht zu","Not applicable","Trifft zu","Applies","Trifft zu","Applies","Trifft zu","Applies","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable",NA,"9","",6,"9","£","",3000,600,1500,500,0,0,5600,NA,NA,NA,NA,NA,NA,NA,NA,"","Ja","Lausanne","","Lausanne",253,"Lausanne Tourisme","Hotel / Kurhaus","Hotel / Spa House","","","****","",4,"Summer","Lausanne","Lausanne"
14932,"Europa","Europe","Vereinigtes Königreich","United Kingdom","England","Somerset","04.07.23","12.07.23","Sommer","Summer","Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz)","Round trip only within Switzerland (several overnight locations in Switzerland)",NA,5,NA,"Nein","Non","Trifft nicht zu","Not applicable","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable",NA,"2","",9,"2","CHF","",3000,1000,1000,100,0,0,5100,NA,NA,NA,NA,NA,NA,NA,NA,"","Ja","Montreux","","Montreux",289,"Montreux Riviera","Hotel / Kurhaus","Hotel / Spa House","","","****","",1,"Summer","Riviera-Pays-d'Enhaut","Riviera-Pays-d'Enhaut"
